"Severity","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18","m19","m20","m21","m22","m23","m24","m25","m26","m27","m28","m29","m30","m31","m32","m33","m34","m35","m36","m37","m38","m39","m40","m41","m42","m43","m44","m45","m46","m47","m48","m49","m50"
"R10830.bam",2,1.73019814595481,1.73364867684574,1.73525360479942,1.7369324487152,1.73193641394653,1.71889765814614,1,1,1,1.62880145741797,1.76659294376904,1.76133805755155,1.76188700190894,1,1.23382239838501,1,1.76004013743766,1,1.58830975612876,1,1,1.58830975612872,1.16047890460225,1.16047890460225,1,1.16047890460241,1.58830975612875,1.49860241786692,1.49963601098041,1.56586818559193,1.48089478699079,1,1.53249435326378,1.56051071573549,1.53583365098901,1.53375515170654,1.65617706457707,1.53132961971653,1,1.4210966556959,1.48048703886128,1,1,1,1,1,1.55133039859202,1.56852270207755,1.62520503616072,1.62860134350366
"R10831_R.bam",2,1.73019814595481,1.73364867684574,1.73525360479942,1.7369324487152,1.73193641394653,1.71889765814614,1,1,1,1.62880145741797,1.76659294376904,1.76133805755155,1.76188700190894,1,1.23382239838501,1,1.76004013743766,1,1.58830975612876,1,1,1.58830975612872,1.16047890460225,1.16047890460225,1,1.16047890460241,1.58830975612875,1.49860241786692,1.49963601098041,1.56586818559193,1.48089478699079,1,1.53249435326378,1.56051071573549,1.53583365098901,1.53375515170654,1.65617706457707,1.53132961971653,1,1.4210966556959,1.48048703886128,1,1,1,1,1,1.55133039859202,1.56852270207755,1.62520503616072,1.62860134350366
"R10832.bam",0,1.73019814595481,1.73364867684574,1.73525360479942,1.7369324487152,1.73193641394653,1.71889765814614,1,1,1,1.62880145741797,1.76659294376904,1.76133805755155,1.76188700190894,1,1.23382239838501,1,1.76004013743766,1,1.58830975612876,1,1,1.58830975612872,1.16047890460225,1.16047890460225,1,1.16047890460241,1.58830975612875,1.49860241786692,1.49963601098041,1.56586818559193,1.48089478699079,1,1.53249435326378,1.56051071573549,1.53583365098901,1.53375515170654,1.65617706457707,1.53132961971653,1,1.4210966556959,1.48048703886128,1,1,1,1,1,1.55133039859202,1.56852270207755,1.62520503616072,1.62860134350366
"R10833.bam",0,0.801523074090081,0.796765950816535,0.794387856411012,0.792020121695218,0.79914272496105,0.822947221200379,1,1,1,1.09412816479614,0.766999507994767,0.761778708850758,0.761151063908029,1,0.984473414517961,1,0.760651335267155,1,1.09433708583072,1,1,1.09433708583087,0.986381432312275,0.986381432312286,1,0.986381432312263,1.09433708583073,1.05867645207994,1.06781587373501,1.05251921704166,1.06297499393173,1,1.05583369189596,1.06007259543075,1.05760776923053,1.05905561663289,1.0689771088253,1.06834214171302,1,1.06953753620765,1.05722791573121,1,1,1,1,1,1.12812565061809,1.14163831316455,1.13474874760235,1.14535347172985
"R10834.bam",0,1.3000256457633,1.30671621855191,1.31001906558541,1.31326463752363,1.30339064628022,1.31792700871849,1.04746160151053,1,1,1.80255839954643,1.28754067653565,1.28346981516703,1.28260432692461,1.06666666666667,1.27837779994497,1.22222222222222,1.28181732691847,1.03360811160244,1.83466663234746,1,1,1.83466663234752,1.21607221261837,1.21607221261839,1,1.21607221261835,1.83466663234746,1.52110866836027,1.47614785818215,1.53386429213231,1.53891233924029,1,1.59536132701262,1.48294579850437,1.50397340298385,1.50080878469371,1.49530352639995,1.51956683014901,1,1.57815581458985,1.48929321207382,1,1,1,1,1,1.48415851358945,1.53360392246749,1.4659437017975,1.49780409670791
"R10835_R.bam",0,2.22870071762803,2.24359894458112,2.25088481397382,2.25817696454361,2.2361843352657,2.21387744566425,2.10708521976938,2.03571428571429,2.20568161192142,2.25470314098588,2.28713411231078,2.28302916386599,2.28334026492531,1.86666666666667,2.25362558982119,1.55555555555556,2.28120612908897,2.04599552950054,2.32869741558744,1.71428571428571,2.1071046976409,2.32869741558745,2.04224198857795,2.04224198857796,2,2.04224198857789,2.32869741558745,2.06751997854942,1.98155721815425,2.09795668108123,2.02973294735489,2.5,2.13151369146288,2.01763572075002,2.03822497146421,2.04087013799097,2.07123041103954,2.01762084606619,2.1071241761978,1.97226979942017,1.97661150553713,2.10714365544013,2.26666666666667,2.66666666666667,2.40419748748691,2.52954602199781,1.94269170067999,2.01360204345021,1.98587520209556,2.0755184893744
"R10836.bam",0,1.3000256457633,1.30671621855191,1.31001906558541,1.31326463752363,1.30339064628022,1.31792700871849,1.04746160151053,1,1,1.80255839954643,1.28754067653565,1.28346981516703,1.28260432692461,1.06666666666667,1.27837779994497,1.22222222222222,1.28181732691847,1.03360811160244,1.83466663234746,1,1,1.83466663234752,1.21607221261837,1.21607221261839,1,1.21607221261835,1.83466663234746,1.52110866836027,1.47614785818215,1.53386429213231,1.53891233924029,1,1.59536132701262,1.48294579850437,1.50397340298385,1.50080878469371,1.49530352639995,1.51956683014901,1,1.57815581458985,1.48929321207382,1,1,1,1,1,1.48415851358945,1.53360392246749,1.4659437017975,1.49780409670791
"R10837.bam",0,2.22870071762803,2.24359894458112,2.25088481397382,2.25817696454361,2.2361843352657,2.21387744566425,2.10708521976938,2.03571428571429,2.20568161192142,2.25470314098588,2.28713411231078,2.28302916386599,2.28334026492531,1.86666666666667,2.25362558982119,1.55555555555556,2.28120612908897,2.04599552950054,2.32869741558744,1.71428571428571,2.1071046976409,2.32869741558745,2.04224198857795,2.04224198857796,2,2.04224198857789,2.32869741558745,2.06751997854942,1.98155721815425,2.09795668108123,2.02973294735489,2.5,2.13151369146288,2.01763572075002,2.03822497146421,2.04087013799097,2.07123041103954,2.01762084606619,2.1071241761978,1.97226979942017,1.97661150553713,2.10714365544013,2.26666666666667,2.66666666666667,2.40419748748691,2.52954602199781,1.94269170067999,2.01360204345021,1.98587520209556,2.0755184893744
"R10838.bam",0,2.22870071762803,2.24359894458112,2.25088481397382,2.25817696454361,2.2361843352657,2.21387744566425,2.10708521976938,2.03571428571429,2.20568161192142,2.25470314098588,2.28713411231078,2.28302916386599,2.28334026492531,1.86666666666667,2.25362558982119,1.55555555555556,2.28120612908897,2.04599552950054,2.32869741558744,1.71428571428571,2.1071046976409,2.32869741558745,2.04224198857795,2.04224198857796,2,2.04224198857789,2.32869741558745,2.06751997854942,1.98155721815425,2.09795668108123,2.02973294735489,2.5,2.13151369146288,2.01763572075002,2.03822497146421,2.04087013799097,2.07123041103954,2.01762084606619,2.1071241761978,1.97226979942017,1.97661150553713,2.10714365544013,2.26666666666667,2.66666666666667,2.40419748748691,2.52954602199781,1.94269170067999,2.01360204345021,1.98587520209556,2.0755184893744
"R10839_R.bam",0,1.73019814595481,1.73364867684574,1.73525360479942,1.7369324487152,1.73193641394653,1.71889765814614,1,1,1,1.62880145741797,1.76659294376904,1.76133805755155,1.76188700190894,1,1.23382239838501,1,1.76004013743766,1,1.58830975612876,1,1,1.58830975612872,1.16047890460225,1.16047890460225,1,1.16047890460241,1.58830975612875,1.49860241786692,1.49963601098041,1.56586818559193,1.48089478699079,1,1.53249435326378,1.56051071573549,1.53583365098901,1.53375515170654,1.65617706457707,1.53132961971653,1,1.4210966556959,1.48048703886128,1,1,1,1,1,1.55133039859202,1.56852270207755,1.62520503616072,1.62860134350366
"R10840_R.bam",0,1.3000256457633,1.30671621855191,1.31001906558541,1.31326463752363,1.30339064628022,1.31792700871849,1.04746160151053,1,1,1.80255839954643,1.28754067653565,1.28346981516703,1.28260432692461,1.06666666666667,1.27837779994497,1.22222222222222,1.28181732691847,1.03360811160244,1.83466663234746,1,1,1.83466663234752,1.21607221261837,1.21607221261839,1,1.21607221261835,1.83466663234746,1.52110866836027,1.47614785818215,1.53386429213231,1.53891233924029,1,1.59536132701262,1.48294579850437,1.50397340298385,1.50080878469371,1.49530352639995,1.51956683014901,1,1.57815581458985,1.48929321207382,1,1,1,1,1,1.48415851358945,1.53360392246749,1.4659437017975,1.49780409670791
"R10841.bam",0,0.83898254148074,0.82648152270256,0.820413204012655,0.814319237837449,0.832696002381796,0.919562452077226,1.73988524546123,1.25,1.35610054348482,1.71294097410495,0.955580745259349,0.950444831980019,0.948582197001167,1.2,1.39007327452848,1.11111111111111,0.949217881670253,1.29242032964993,1.66685074514595,1.14285714285714,1.99997922068921,1.66685074514606,1.41561196945063,1.41561196945063,1.2,1.41561196945062,1.66685074514595,1.47811579693974,1.47381825286039,1.52256488216601,1.562315947626,1.5,1.5968538408103,1.51018170225621,1.50897618909689,1.53787562764268,1.51885227654927,1.51980616771185,1.99998614703019,1.50623687481524,1.48278398764637,1.99999307346712,1.33333333333333,1.33333333333333,1.45803047510876,1.64763338508289,1.52696140980809,1.52896994607633,1.53110523920006,1.51916255703859
"R10842.bam",0,0.340479969807525,0.316531254967186,0.304781994838254,0.293074722009041,0.328448081062626,0.424582664559114,1,1,1,0.892423789701872,0.435039576720954,0.428753725663689,0.427128933984789,1,0.892811714387598,1,0.428051890018924,1,0.800933763686168,1,1,0.800933763686221,0.902393089660956,0.902393089660961,1,0.902393089660918,0.800933763686175,1.10022081333095,1.08821964572891,1.0838387612162,1.08508118214995,1,1.08537151109175,1.09849411819781,1.09330318081528,1.09628156971233,1.09990528277749,1.10088089067285,1,1.07790170013007,1.08738312780647,1,1,1,1,1,1.23325965335,1.22523409954014,1.24515261195856,1.22721838803769
"R10843.bam",0,0.83898254148074,0.82648152270256,0.820413204012655,0.814319237837449,0.832696002381796,0.919562452077226,1.73988524546123,1.25,1.35610054348482,1.71294097410495,0.955580745259349,0.950444831980019,0.948582197001167,1.2,1.39007327452848,1.11111111111111,0.949217881670253,1.29242032964993,1.66685074514595,1.14285714285714,1.99997922068921,1.66685074514606,1.41561196945063,1.41561196945063,1.2,1.41561196945062,1.66685074514595,1.47811579693974,1.47381825286039,1.52256488216601,1.562315947626,1.5,1.5968538408103,1.51018170225621,1.50897618909689,1.53787562764268,1.51885227654927,1.51980616771185,1.99998614703019,1.50623687481524,1.48278398764637,1.99999307346712,1.33333333333333,1.33333333333333,1.45803047510876,1.64763338508289,1.52696140980809,1.52896994607633,1.53110523920006,1.51916255703859
"R10844.bam",0,1.3000256457633,1.30671621855191,1.31001906558541,1.31326463752363,1.30339064628022,1.31792700871849,1.04746160151053,1,1,1.80255839954643,1.28754067653565,1.28346981516703,1.28260432692461,1.06666666666667,1.27837779994497,1.22222222222222,1.28181732691847,1.03360811160244,1.83466663234746,1,1,1.83466663234752,1.21607221261837,1.21607221261839,1,1.21607221261835,1.83466663234746,1.52110866836027,1.47614785818215,1.53386429213231,1.53891233924029,1,1.59536132701262,1.48294579850437,1.50397340298385,1.50080878469371,1.49530352639995,1.51956683014901,1,1.57815581458985,1.48929321207382,1,1,1,1,1,1.48415851358945,1.53360392246749,1.4659437017975,1.49780409670791
"R10845.bam",0,2.22870071762803,2.24359894458112,2.25088481397382,2.25817696454361,2.2361843352657,2.21387744566425,2.10708521976938,2.03571428571429,2.20568161192142,2.25470314098588,2.28713411231078,2.28302916386599,2.28334026492531,1.86666666666667,2.25362558982119,1.55555555555556,2.28120612908897,2.04599552950054,2.32869741558744,1.71428571428571,2.1071046976409,2.32869741558745,2.04224198857795,2.04224198857796,2,2.04224198857789,2.32869741558745,2.06751997854942,1.98155721815425,2.09795668108123,2.02973294735489,2.5,2.13151369146288,2.01763572075002,2.03822497146421,2.04087013799097,2.07123041103954,2.01762084606619,2.1071241761978,1.97226979942017,1.97661150553713,2.10714365544013,2.26666666666667,2.66666666666667,2.40419748748691,2.52954602199781,1.94269170067999,2.01360204345021,1.98587520209556,2.0755184893744
"R10846.bam",1,2.22870071762803,2.24359894458112,2.25088481397382,2.25817696454361,2.2361843352657,2.21387744566425,2.10708521976938,2.03571428571429,2.20568161192142,2.25470314098588,2.28713411231078,2.28302916386599,2.28334026492531,1.86666666666667,2.25362558982119,1.55555555555556,2.28120612908897,2.04599552950054,2.32869741558744,1.71428571428571,2.1071046976409,2.32869741558745,2.04224198857795,2.04224198857796,2,2.04224198857789,2.32869741558745,2.06751997854942,1.98155721815425,2.09795668108123,2.02973294735489,2.5,2.13151369146288,2.01763572075002,2.03822497146421,2.04087013799097,2.07123041103954,2.01762084606619,2.1071241761978,1.97226979942017,1.97661150553713,2.10714365544013,2.26666666666667,2.66666666666667,2.40419748748691,2.52954602199781,1.94269170067999,2.01360204345021,1.98587520209556,2.0755184893744
"R10847.bam",1,1.76765761334547,1.76336424873177,1.76127895240106,1.75923156485744,1.76548969136728,1.81551288902299,2.26507520045995,2.39285714285714,2.39376977032595,2.14999426882902,1.95517418104682,1.95000418067927,1.94931813500179,2.35555555555556,1.42870956861767,2.22222222222222,1.94860668384074,2.39001074474726,2.05762679612894,2.57142857142857,2.2650770081709,2.05762679612896,1.33020006348855,1.33020006348855,2.4,1.33020006348824,2.05762679612894,1.95092019444521,1.9042640895268,1.96646553918191,1.9776231026963,2.33333333333333,2.01409420754786,1.95185932996051,1.95274223481904,1.98363934724353,1.94693938626343,1.94683502297701,2.26065001723716,1.89183999192822,1.92274733982148,2.06314416149284,2.33333333333333,2.33333333333333,2.38336366032053,2.4514529380538,1.92283964186725,1.9413627916089,1.9519737439842,2.0022367641839
"R10848.bam",1,2.86471879578207,2.88124958523837,2.8892151951391,2.8972159169395,2.87304442122638,2.76888093958341,1.89879870290747,1.76785714285714,1.71243672646782,2.290491627744,2.90577279394589,2.90531042978566,2.90734278518326,1.88888888888889,2.14096315076818,1.88888888888889,2.90438458337628,1.71678569174091,2.3663566311584,1.71428571428571,1.90541434193916,2.3663566311587,2.2306568057519,2.23065680575196,2,2.23065680575179,2.36635663115841,2.47998630123928,2.4027020330705,2.50821860350384,2.36955401366559,1.75,2.43347220563573,2.42481600942383,2.46682148813564,2.44426761250085,2.49329232391125,2.43188094222729,1.90543283223572,2.37625824117002,2.44844136900613,1.90543090095342,1.9,2,1.64397363158913,1.43045969886112,2.36742556618543,2.38211530043052,2.45468484352927,2.42386762007886
"R10849.bam",1,1.73019814595481,1.73364867684574,1.73525360479942,1.7369324487152,1.73193641394653,1.71889765814614,1,1,1,1.62880145741797,1.76659294376904,1.76133805755155,1.76188700190894,1,1.23382239838501,1,1.76004013743766,1,1.58830975612876,1,1,1.58830975612872,1.16047890460225,1.16047890460225,1,1.16047890460241,1.58830975612875,1.49860241786692,1.49963601098041,1.56586818559193,1.48089478699079,1,1.53249435326378,1.56051071573549,1.53583365098901,1.53375515170654,1.65617706457707,1.53132961971653,1,1.4210966556959,1.48048703886128,1,1,1,1,1,1.55133039859202,1.56852270207755,1.62520503616072,1.62860134350366
"R10850.bam",1,2.22870071762803,2.24359894458112,2.25088481397382,2.25817696454361,2.2361843352657,2.21387744566425,2.10708521976938,2.03571428571429,2.20568161192142,2.25470314098588,2.28713411231078,2.28302916386599,2.28334026492531,1.86666666666667,2.25362558982119,1.55555555555556,2.28120612908897,2.04599552950054,2.32869741558744,1.71428571428571,2.1071046976409,2.32869741558745,2.04224198857795,2.04224198857796,2,2.04224198857789,2.32869741558745,2.06751997854942,1.98155721815425,2.09795668108123,2.02973294735489,2.5,2.13151369146288,2.01763572075002,2.03822497146421,2.04087013799097,2.07123041103954,2.01762084606619,2.1071241761978,1.97226979942017,1.97661150553713,2.10714365544013,2.26666666666667,2.66666666666667,2.40419748748691,2.52954602199781,1.94269170067999,2.01360204345021,1.98587520209556,2.0755184893744
"R10851.bam",1,0.801523074090081,0.796765950816535,0.794387856411012,0.792020121695218,0.79914272496105,0.822947221200379,1,1,1,1.09412816479614,0.766999507994767,0.761778708850758,0.761151063908029,1,0.984473414517961,1,0.760651335267155,1,1.09433708583072,1,1,1.09433708583087,0.986381432312275,0.986381432312286,1,0.986381432312263,1.09433708583073,1.05867645207994,1.06781587373501,1.05251921704166,1.06297499393173,1,1.05583369189596,1.06007259543075,1.05760776923053,1.05905561663289,1.0689771088253,1.06834214171302,1,1.06953753620765,1.05722791573121,1,1,1,1,1,1.12812565061809,1.14163831316455,1.13474874760235,1.14535347172985
"R10852_R.bam",1,3.01229228389984,3.03466832928432,3.04570834948576,3.05667849378616,3.0235250982396,2.9848573452589,3.23713594064572,3.375,3.3504884857391,2.42951774032935,2.95392533725559,2.94965875892482,2.94978307387603,3.18888888888889,2.50669436660306,2.77777777777778,2.94843524962498,3.34671057736554,2.44030660631795,3.28571428571429,3.23715319394483,2.44030660631796,2.89525627911154,2.8952562791115,3.6,2.89525627911217,2.44030660631795,2.55304706178255,2.35654541384749,2.43651388899815,2.41414583611395,3.41666666666667,2.35521067739195,2.32607117052451,2.35173802832789,2.42566509101839,2.39076921285062,2.37130153090303,3.46811988150919,2.34741747770997,2.31791355310334,3.4548264468551,3.5,3.33333333333333,3.57285206718834,3.2742735309731,2.32794541931652,2.42128451509892,2.32761185319539,2.41244296013797
"R10853_R.bam",1,1.73019814595481,1.73364867684574,1.73525360479942,1.7369324487152,1.73193641394653,1.71889765814614,1,1,1,1.62880145741797,1.76659294376904,1.76133805755155,1.76188700190894,1,1.23382239838501,1,1.76004013743766,1,1.58830975612876,1,1,1.58830975612872,1.16047890460225,1.16047890460225,1,1.16047890460241,1.58830975612875,1.49860241786692,1.49963601098041,1.56586818559193,1.48089478699079,1,1.53249435326378,1.56051071573549,1.53583365098901,1.53375515170654,1.65617706457707,1.53132961971653,1,1.4210966556959,1.48048703886128,1,1,1,1,1,1.55133039859202,1.56852270207755,1.62520503616072,1.62860134350366
"R10854_R.bam",1,2.22870071762803,2.24359894458112,2.25088481397382,2.25817696454361,2.2361843352657,2.21387744566425,2.10708521976938,2.03571428571429,2.20568161192142,2.25470314098588,2.28713411231078,2.28302916386599,2.28334026492531,1.86666666666667,2.25362558982119,1.55555555555556,2.28120612908897,2.04599552950054,2.32869741558744,1.71428571428571,2.1071046976409,2.32869741558745,2.04224198857795,2.04224198857796,2,2.04224198857789,2.32869741558745,2.06751997854942,1.98155721815425,2.09795668108123,2.02973294735489,2.5,2.13151369146288,2.01763572075002,2.03822497146421,2.04087013799097,2.07123041103954,2.01762084606619,2.1071241761978,1.97226979942017,1.97661150553713,2.10714365544013,2.26666666666667,2.66666666666667,2.40419748748691,2.52954602199781,1.94269170067999,2.01360204345021,1.98587520209556,2.0755184893744
"R10855.bam",1,1.76765761334547,1.76336424873177,1.76127895240106,1.75923156485744,1.76548969136728,1.81551288902299,2.26507520045995,2.39285714285714,2.39376977032595,2.14999426882902,1.95517418104682,1.95000418067927,1.94931813500179,2.35555555555556,1.42870956861767,2.22222222222222,1.94860668384074,2.39001074474726,2.05762679612894,2.57142857142857,2.2650770081709,2.05762679612896,1.33020006348855,1.33020006348855,2.4,1.33020006348824,2.05762679612894,1.95092019444521,1.9042640895268,1.96646553918191,1.9776231026963,2.33333333333333,2.01409420754786,1.95185932996051,1.95274223481904,1.98363934724353,1.94693938626343,1.94683502297701,2.26065001723716,1.89183999192822,1.92274733982148,2.06314416149284,2.33333333333333,2.33333333333333,2.38336366032053,2.4514529380538,1.92283964186725,1.9413627916089,1.9519737439842,2.0022367641839
